Platform,Campaign_Name,Date,Region,Device_Type,Audience_Segment,Campaign_Objective,Impressions,Reach,Frequency,Clicks,CTR(%),CPC($),CPM($),Spend($),Engagements,Engagement_Rate(%),Cost_per_Engagement($),Conversions,Conversion_Rate(%),Avg_Order_Value($),Revenue($),Profit($),Profit_Margin,ROAS,CAC($),ROI(%),Revenue_per_Dollar
Meta,Summer_Sale,2025-06-15,Europe,Mobile,Returning Customers,Traffic,95445,79924,1.19,1250,1.2445,0.9,11.79,1125.0,2015,2.321,0.56,43,3.46,19.39,875.4585000000001,472.75,0.54,0.78,26.16,-22.18,0.78
Meta,Summer_Sale,2025-06-16,Asia-Pacific,Mobile,High-Value Customers,Traffic,134562,84037,1.6,1359,1.01,0.67,6.77,910.53,4584,3.41,0.2,48,3.55,42.51,2040.48,673.36,0.33,2.24,18.97,124.1,2.24
Meta,Summer_Sale,2025-06-17,India,Desktop,High-Value Customers,Retention,110768,81744,1.36,1140,1.03,0.6160000000000001,7.92,877.8,1251,1.13,0.7,44,3.9,50.5,1999.8,879.91,0.44,2.28,19.95,127.82,2.28
Meta,Summer_Sale,2025-06-18,North America,Mobile,New Customers,Traffic,91889,57461,1.6,872,0.95,0.85,8.07,741.2,5288,5.75,0.14,25,2.87,22.49,562.25,224.9,0.4,0.76,29.65,-24.14,0.76
Meta,Summer_Sale,2025-06-19,Asia-Pacific,Desktop,Returning Customers,Retention,78212,48566,1.61,680,0.87,0.8,6.96,544.0,3110,3.98,0.17,21,3.1,56.03,1176.63,352.99,0.3,2.16,25.9,116.29,2.16
Meta,Summer_Sale,2025-06-20,Europe,Tablet,High-Value Customers,Conversions,138816,92111,1.51,2415,1.74,0.46,8.0,1110.9,4206,3.03,0.26,95,3.96,44.06,4394.985,2109.59,0.48,3.96,11.69,295.62,3.96
Meta,Summer_Sale,2025-06-21,North America,Desktop,Returning Customers,Awareness,252748,221933,1.14,4145,1.5579999999999998,0.6,9.84,2487.0,14912,6.490000000000001,0.17,55,1.33,30.43,1673.65,518.83,0.31,0.67,45.22,-32.7,0.67
Meta,Summer_Sale,2025-06-22,Europe,Desktop,New Customers,Retention,108686,71294,1.52,1630,1.4249999999999998,0.57,8.55,929.1,4871,4.928000000000001,0.19,68,4.21,32.92,2350.488,799.17,0.34,2.53,13.66,152.99,2.53
Meta,Summer_Sale,2025-06-23,Asia-Pacific,Mobile,Returning Customers,Awareness,318290,193706,1.64,3596,1.13,0.75,8.47,2697.0,11459,3.6,0.24,84,2.36,38.33,3219.72,1706.45,0.53,1.19,32.11,19.38,1.19
Meta,Summer_Sale,2025-06-24,India,Tablet,Returning Customers,Traffic,87353,68408,1.28,1039,1.19,0.7360000000000001,10.94,955.88,5000,5.72,0.19,37,3.59,46.87,1560.7710000000002,452.62,0.29,1.63,25.83,63.28,1.63
Meta,Summer_Sale,2025-06-25,India,Desktop,High-Value Customers,Conversions,155376,130729,1.19,1631,1.05,0.384,5.04,782.88,3870,2.49,0.2,78,4.83,57.43,4031.5860000000002,1693.27,0.42,5.15,10.04,414.97,5.15
Meta,Summer_Sale,2025-06-26,North America,Desktop,New Customers,Conversions,132949,73487,1.81,1462,1.1,0.69,7.59,1008.78,1114,0.84,0.91,62,4.28,31.55,1956.1,997.61,0.51,1.94,16.27,93.91,1.94
Meta,Summer_Sale,2025-06-27,North America,Desktop,High-Value Customers,Awareness,229931,160698,1.43,2368,1.03,0.47,4.84,1112.96,16229,7.06,0.07,49,2.09,58.23,2853.27,1398.1,0.49,2.56,22.71,156.37,2.56
Meta,Summer_Sale,2025-06-28,India,Desktop,Returning Customers,Traffic,125568,111908,1.12,1155,0.874,0.4,4.6,577.5,4543,3.9820000000000007,0.13,33,2.88,37.37,1109.8890000000001,532.75,0.48,1.92,17.5,92.19,1.92
Meta,Summer_Sale,2025-06-29,India,Mobile,Returning Customers,Retention,199937,156308,1.28,1799,0.855,0.664,7.47,1493.17,7451,4.103000000000001,0.2,62,3.5,22.59,1260.522,617.66,0.49,0.84,24.08,-15.58,0.84
Meta,Summer_Sale,2025-06-30,India,Desktop,Returning Customers,Awareness,232390,182395,1.27,2161,0.93,0.656,7.63,1772.02,15999,6.88,0.11,48,2.24,16.04,692.928,270.24,0.39,0.39,36.92,-60.9,0.39
Meta,Summer_Sale,2025-07-01,Asia-Pacific,Tablet,High-Value Customers,Traffic,176890,126653,1.4,1627,0.92,0.67,6.16,1090.09,5692,3.22,0.19,47,2.93,28.12,1321.64,660.82,0.5,1.21,23.19,21.24,1.21
Meta,Summer_Sale,2025-07-02,North America,Mobile,Returning Customers,Awareness,294680,256359,1.15,4626,1.57,0.57,8.95,2636.82,13953,4.73,0.19,63,1.38,20.77,1308.51,340.21,0.26,0.5,41.85,-50.38,0.5
Meta,Summer_Sale,2025-07-03,India,Tablet,Returning Customers,Awareness,186961,137114,1.36,2000,1.07,0.43200000000000005,5.78,1080.0,5761,3.08,0.19,34,1.74,43.28,1324.368,648.94,0.49,1.23,31.76,22.63,1.23
Meta,Summer_Sale,2025-07-04,Europe,Mobile,New Customers,Traffic,142986,125175,1.14,2445,1.71,0.95,16.24,2322.75,5463,3.82,0.43,85,3.5,33.75,3012.1875,1506.09,0.5,1.3,27.33,29.68,1.3
Meta,Summer_Sale,2025-07-05,Asia-Pacific,Desktop,New Customers,Traffic,111679,73918,1.51,915,0.7789999999999999,0.51,4.18,466.65,1559,1.54,0.3,22,2.43,34.56,760.32,281.32,0.37,1.63,21.21,62.93,1.63
Meta,Summer_Sale,2025-07-06,Europe,Desktop,High-Value Customers,Traffic,140206,122615,1.14,2271,1.539,0.77,12.47,1748.67,3805,2.9810000000000003,0.46,81,3.61,51.24,4357.9619999999995,2135.4,0.49,2.49,21.59,149.22,2.49
Meta,Summer_Sale,2025-07-07,Asia-Pacific,Desktop,Returning Customers,Conversions,146717,117551,1.25,2508,1.71,0.83,14.19,2081.64,3893,2.65,0.53,119,4.75,28.29,3366.51,1312.94,0.39,1.62,17.49,61.72,1.62
Meta,Summer_Sale,2025-07-08,Europe,Tablet,Returning Customers,Awareness,130653,86555,1.51,1685,1.29,0.66,8.51,1112.1,2095,1.6,0.53,23,1.38,20.8,502.32,261.21,0.52,0.45,48.35,-54.83,0.45
Meta,Summer_Sale,2025-07-09,Asia-Pacific,Mobile,High-Value Customers,Retention,118258,65568,1.8,1631,1.38,0.58,8.0,945.98,2784,2.35,0.34,43,2.66,43.61,1875.23,506.31,0.27,1.98,22.0,98.23,1.98
Meta,Summer_Sale,2025-07-10,India,Desktop,Returning Customers,Awareness,329317,274132,1.2,4248,1.29,0.6160000000000001,9.93,3270.96,14652,4.45,0.22,63,1.5,29.19,1655.073,761.33,0.46,0.51,51.92,-49.4,0.51
Meta,Summer_Sale,2025-07-11,Europe,Tablet,High-Value Customers,Retention,99021,78634,1.26,1713,1.73,0.58,10.03,993.54,3166,3.2,0.31,46,2.7,35.28,1704.0240000000001,460.09,0.27,1.72,21.6,71.51,1.72
Meta,Summer_Sale,2025-07-12,Asia-Pacific,Tablet,New Customers,Traffic,151090,84537,1.79,2659,1.672,0.72,12.67,1914.48,5112,3.718,0.37,70,2.65,55.55,3888.5,1205.43,0.31,2.03,27.35,103.11,2.03
Meta,Summer_Sale,2025-07-13,Asia-Pacific,Desktop,New Customers,Awareness,191513,133960,1.43,2930,1.4535,0.52,7.96,1523.6,3756,2.156,0.41,53,1.81,20.43,1082.79,368.15,0.34,0.71,28.75,-28.93,0.71
Meta,Summer_Sale,2025-07-14,India,Mobile,New Customers,Retention,147587,128282,1.15,2051,1.39,0.528,9.17,1353.66,1954,1.32,0.69,52,2.54,27.62,1292.616,504.12,0.39,0.95,26.03,-4.51,0.95
Meta,Summer_Sale,2025-07-15,North America,Mobile,Returning Customers,Conversions,141936,96476,1.47,1632,1.15,0.42,4.83,685.44,3144,2.22,0.22,49,3.02,59.13,2897.37,1072.03,0.37,4.23,13.99,322.7,4.23
Meta,Summer_Sale,2025-07-16,North America,Tablet,Returning Customers,Conversions,192421,163002,1.18,1654,0.86,0.67,5.76,1108.18,1687,0.88,0.66,76,4.64,37.84,2875.84,1294.13,0.45,2.6,14.58,159.51,2.6
Meta,Summer_Sale,2025-07-17,Asia-Pacific,Desktop,New Customers,Awareness,185105,131208,1.41,1684,0.91,0.43,3.91,724.12,11726,6.33,0.06,35,2.12,41.43,1450.05,522.02,0.36,2.0,20.69,100.25,2.0
Meta,Summer_Sale,2025-07-18,India,Tablet,High-Value Customers,Retention,125959,96280,1.31,1763,1.4,0.6080000000000001,10.64,1339.88,2853,2.27,0.47,83,4.74,23.57,1760.679,510.6,0.29,1.31,16.14,31.41,1.31
Meta,Summer_Sale,2025-07-19,Asia-Pacific,Tablet,New Customers,Retention,157898,122243,1.29,2131,1.2825,0.53,7.15,1129.43,5866,4.0920000000000005,0.19,92,4.34,39.16,3602.72,1801.36,0.5,3.19,12.28,218.99,3.19
Meta,Summer_Sale,2025-07-20,North America,Mobile,New Customers,Conversions,141198,111620,1.26,2245,1.5105,0.84,13.36,1885.8,1250,0.9790000000000001,1.51,82,3.69,32.22,2642.04,819.03,0.31,1.4,23.0,40.1,1.4
Meta,Summer_Sale,2025-07-21,India,Desktop,New Customers,Conversions,163343,104433,1.56,1764,1.08,0.784,10.58,1728.72,3697,2.26,0.47,62,3.56,15.14,844.812,270.34,0.32,0.49,27.88,-51.13,0.49
Meta,Summer_Sale,2025-07-22,India,Desktop,Returning Customers,Retention,68868,42904,1.61,971,1.41,0.7280000000000001,12.83,883.61,2516,3.65,0.35,38,3.98,39.93,1365.606,546.24,0.4,1.55,23.25,54.55,1.55
Meta,Summer_Sale,2025-07-23,Europe,Desktop,High-Value Customers,Awareness,112609,80640,1.4,1745,1.55,0.93,14.41,1622.85,7150,6.35,0.23,30,1.75,57.42,1808.73,958.63,0.53,1.11,54.09,11.45,1.11
Meta,Summer_Sale,2025-07-24,Asia-Pacific,Desktop,New Customers,Conversions,173067,123073,1.41,1574,0.91,0.49,4.46,771.26,6880,3.98,0.11,82,5.22,56.5,4633.0,1389.9,0.3,6.01,9.41,500.71,6.01
Meta,Summer_Sale,2025-07-25,Europe,Desktop,High-Value Customers,Retention,152315,120926,1.26,2406,1.58,0.65,10.27,1563.9,2357,1.55,0.66,85,3.57,41.65,3717.2625000000003,1747.11,0.47,2.38,18.4,137.69,2.38
Meta,Summer_Sale,2025-07-26,Asia-Pacific,Mobile,Returning Customers,Traffic,140920,106548,1.32,2240,1.5105,0.64,10.17,1433.6,4360,3.399,0.33,82,3.68,31.13,2552.66,970.01,0.38,1.78,17.48,78.06,1.78
Meta,Summer_Sale,2025-07-27,India,Mobile,New Customers,Retention,122352,79067,1.55,2165,1.6815,0.592,13.09,1602.1,5195,4.675000000000001,0.31,95,4.4,34.02,2908.71,1163.48,0.4,1.82,16.86,81.56,1.82
Meta,Summer_Sale,2025-07-28,India,Desktop,High-Value Customers,Awareness,274762,157091,1.75,2610,0.95,0.384,4.56,1252.8,13140,4.78,0.1,36,1.38,48.06,1557.144,591.71,0.38,1.24,34.8,24.29,1.24
Meta,Summer_Sale,2025-07-29,Europe,Mobile,Returning Customers,Retention,181416,107254,1.69,2394,1.32,0.61,8.05,1460.34,2740,1.51,0.53,70,2.94,17.42,1280.3700000000001,563.36,0.44,0.88,20.86,-12.32,0.88
Meta,Summer_Sale,2025-07-30,Europe,Desktop,High-Value Customers,Conversions,224765,201580,1.12,2562,1.14,0.6,6.84,1537.2,2256,1.0,0.68,108,4.24,31.47,3568.6980000000003,1891.41,0.53,2.32,14.23,132.16,2.32
Meta,Summer_Sale,2025-07-31,India,Desktop,High-Value Customers,Traffic,242293,172017,1.41,3392,1.4,0.7120000000000001,12.46,3018.88,13896,5.74,0.22,71,2.12,35.88,2292.732,1192.22,0.52,0.76,42.52,-24.05,0.76
Meta,Summer_Sale,2025-08-01,Europe,Desktop,Returning Customers,Retention,160828,109801,1.46,1334,0.83,0.7,5.81,933.8,6108,3.8,0.15,34,2.56,34.65,1237.0049999999999,408.21,0.33,1.32,27.46,32.47,1.32
Meta,Summer_Sale,2025-08-02,India,Tablet,New Customers,Retention,199202,143439,1.39,2290,1.0924999999999998,0.7440000000000001,10.69,2129.7,9640,5.324,0.22,70,3.06,22.58,1422.54,697.04,0.49,0.67,30.42,-33.2,0.67
Meta,Summer_Sale,2025-08-03,India,Desktop,New Customers,Awareness,253156,191438,1.32,2658,0.9974999999999999,0.48,6.3,1594.8,18029,7.832000000000001,0.09,62,2.34,27.83,1552.914,590.11,0.38,0.97,25.72,-2.63,0.97
Meta,Summer_Sale,2025-08-04,North America,Tablet,New Customers,Traffic,235651,199529,1.18,2050,0.87,0.67,5.83,1373.5,3202,1.36,0.43,76,3.74,41.65,3165.4,791.35,0.25,2.3,18.07,130.46,2.3
Meta,Summer_Sale,2025-08-05,Asia-Pacific,Tablet,Returning Customers,Traffic,211010,121890,1.73,1899,0.9,0.46,4.14,873.54,8713,4.13,0.1,43,2.29,31.01,1333.43,440.03,0.33,1.53,20.31,52.65,1.53
Meta,Summer_Sale,2025-08-06,North America,Tablet,High-Value Customers,Awareness,183405,124240,1.48,2604,1.42,0.52,7.38,1354.08,2529,1.38,0.54,34,1.33,46.97,1596.98,782.52,0.49,1.18,39.83,17.94,1.18
Meta,Summer_Sale,2025-08-07,Asia-Pacific,Desktop,High-Value Customers,Traffic,189396,143293,1.32,1931,1.02,0.89,9.07,1718.59,5278,2.79,0.33,43,2.25,45.54,1958.22,528.72,0.27,1.14,39.97,13.94,1.14
Meta,Summer_Sale,2025-08-08,Asia-Pacific,Tablet,Returning Customers,Conversions,133320,103753,1.28,2213,1.66,0.62,10.29,1372.06,4362,3.27,0.31,120,5.44,34.85,4182.0,2049.18,0.49,3.05,11.43,204.8,3.05
Meta,Summer_Sale,2025-08-09,North America,Mobile,Returning Customers,Awareness,252034,200120,1.26,3024,1.14,0.48,5.76,1451.52,8290,3.619,0.18,70,2.34,26.8,1876.0,1013.04,0.54,1.29,20.74,29.24,1.29
Meta,Summer_Sale,2025-08-10,Europe,Mobile,New Customers,Traffic,205068,118644,1.73,2542,1.178,0.95,11.78,2414.9,6122,3.2890000000000006,0.39,88,3.47,26.08,2409.792,1156.7,0.48,1.0,27.44,-0.21,1.0
Meta,Summer_Sale,2025-08-11,North America,Desktop,Returning Customers,Conversions,121193,72069,1.68,1321,1.09,0.88,9.59,1162.48,1114,0.92,1.04,74,5.62,36.03,2666.22,719.88,0.27,2.29,15.71,129.36,2.29
Meta,Summer_Sale,2025-08-12,Asia-Pacific,Mobile,Returning Customers,Retention,109341,91738,1.19,1738,1.59,0.74,11.76,1286.12,4955,4.53,0.26,45,2.6,23.13,1040.85,333.07,0.32,0.81,28.58,-19.07,0.81
Meta,Summer_Sale,2025-08-13,Europe,Tablet,High-Value Customers,Retention,99999,63821,1.57,939,0.94,0.58,5.45,544.62,1503,1.5,0.36,39,4.23,45.49,1862.8155,745.13,0.4,3.42,13.96,242.04,3.42
Meta,Summer_Sale,2025-08-14,India,Mobile,High-Value Customers,Traffic,131450,86658,1.52,1603,1.22,0.336,5.12,673.26,2433,1.85,0.28,51,3.23,39.15,1796.9850000000001,593.01,0.33,2.67,13.2,166.91,2.67
Meta,Summer_Sale,2025-08-15,North America,Tablet,New Customers,Traffic,160210,106364,1.51,2835,1.77,0.73,12.92,2069.55,4020,2.51,0.51,101,3.58,45.15,4560.15,2097.67,0.46,2.2,20.49,120.35,2.2
Meta,Summer_Sale,2025-08-16,Europe,Desktop,New Customers,Awareness,165926,148171,1.12,2090,1.1969999999999998,0.53,6.68,1107.7,3222,2.134,0.34,45,2.17,32.52,1536.5700000000002,414.87,0.27,1.39,24.62,38.72,1.39
Meta,Summer_Sale,2025-08-17,North America,Desktop,High-Value Customers,Traffic,202223,132597,1.53,2325,1.0924999999999998,0.8,9.2,1860.0,9827,5.346000000000001,0.19,56,2.45,44.22,2476.32,841.95,0.34,1.33,33.21,33.14,1.33
Meta,Summer_Sale,2025-08-18,India,Mobile,High-Value Customers,Retention,65454,39783,1.65,608,0.93,0.5599999999999999,6.5,425.6,2997,4.58,0.14,25,4.13,26.05,586.125,240.31,0.41,1.38,17.02,37.72,1.38
Meta,Summer_Sale,2025-08-19,Europe,Tablet,New Customers,Retention,114345,69614,1.64,1314,1.15,0.68,7.81,893.52,2822,2.47,0.32,57,4.38,29.39,1758.9915,598.06,0.34,1.97,15.68,96.86,1.97
Meta,Summer_Sale,2025-08-20,Asia-Pacific,Mobile,High-Value Customers,Retention,104693,59428,1.76,1099,1.05,0.93,9.76,1022.07,5048,4.82,0.2,30,2.74,27.44,823.2,271.66,0.33,0.81,34.07,-19.46,0.81
Meta,Summer_Sale,2025-08-21,India,Desktop,Returning Customers,Awareness,263121,155027,1.7,2157,0.82,0.42400000000000004,4.34,1143.21,14820,5.63,0.08,46,2.17,48.68,2015.3520000000003,624.76,0.31,1.76,24.85,76.29,1.76
Meta,Summer_Sale,2025-08-22,Europe,Desktop,High-Value Customers,Conversions,67575,41546,1.63,736,1.09,0.52,5.66,382.72,2331,3.45,0.16,31,4.28,59.34,1931.517,714.66,0.37,5.05,12.35,404.68,5.05
Meta,Summer_Sale,2025-08-23,Asia-Pacific,Desktop,High-Value Customers,Awareness,188991,104251,1.81,3212,1.615,0.59,10.03,1895.08,12967,7.546000000000001,0.15,40,1.25,48.27,1930.8,849.55,0.44,1.02,47.38,1.88,1.02
Meta,Summer_Sale,2025-08-24,Asia-Pacific,Desktop,New Customers,Conversions,109296,63293,1.73,1191,1.0355,0.72,7.85,857.52,2667,2.684,0.32,38,3.27,33.96,1290.48,516.19,0.4,1.5,22.57,50.49,1.5
Meta,Summer_Sale,2025-08-25,North America,Tablet,New Customers,Conversions,177774,125503,1.42,2862,1.61,0.9,14.49,2575.8,3840,2.16,0.67,153,5.37,57.32,8769.96,4384.98,0.5,3.4,16.84,240.48,3.4
Meta,Summer_Sale,2025-08-26,Asia-Pacific,Mobile,Returning Customers,Traffic,129316,80741,1.6,2069,1.6,0.85,13.6,1758.65,7317,5.66,0.24,80,3.91,48.99,3919.2,1214.95,0.31,2.23,21.98,122.85,2.23
Meta,Summer_Sale,2025-08-27,North America,Tablet,High-Value Customers,Awareness,142095,124478,1.14,2472,1.74,0.48,8.35,1186.56,9489,6.68,0.13,48,1.97,46.46,2230.08,1092.74,0.49,1.88,24.72,87.94,1.88
Meta,Summer_Sale,2025-08-28,Asia-Pacific,Tablet,Returning Customers,Awareness,142833,104136,1.37,2071,1.45,0.8,11.6,1656.8,2568,1.8,0.65,42,2.03,18.9,793.8,254.02,0.32,0.48,39.45,-52.09,0.48
Meta,Summer_Sale,2025-08-29,North America,Tablet,Returning Customers,Retention,177040,130177,1.36,2637,1.49,0.54,8.04,1423.98,9377,5.3,0.15,116,4.41,45.29,5253.64,2679.36,0.51,3.69,12.28,268.94,3.69
Meta,Summer_Sale,2025-08-30,Europe,Desktop,New Customers,Awareness,247934,171116,1.45,3173,1.216,0.69,8.83,2189.37,11533,5.115000000000001,0.19,75,2.37,43.42,3419.3250000000003,1094.18,0.32,1.56,29.19,56.18,1.56
Meta,Summer_Sale,2025-08-31,Asia-Pacific,Mobile,High-Value Customers,Awareness,268998,224278,1.2,4815,1.7005,0.71,12.71,3418.65,19367,7.920000000000001,0.18,68,1.42,25.03,1702.04,782.94,0.46,0.5,50.27,-50.21,0.5
Meta,Summer_Sale,2025-09-01,India,Mobile,Returning Customers,Conversions,222061,155651,1.43,2442,1.1,0.48,6.6,1465.2,7071,3.18,0.21,99,4.09,19.81,1765.0710000000001,864.88,0.49,1.2,14.8,20.47,1.2
Meta,Summer_Sale,2025-09-02,Europe,Desktop,High-Value Customers,Conversions,174211,99665,1.75,2891,1.66,0.85,14.11,2457.35,1970,1.13,1.25,153,5.32,32.21,5174.5365,2069.81,0.4,2.11,16.06,110.57,2.11
Meta,Summer_Sale,2025-09-03,India,Tablet,New Customers,Retention,98956,88989,1.11,851,0.86,0.664,7.14,706.33,2510,2.54,0.28,37,4.45,60.0,1998.0,999.0,0.5,2.83,19.09,182.87,2.83
Meta,Summer_Sale,2025-09-04,India,Mobile,High-Value Customers,Traffic,195413,135997,1.44,2227,1.14,0.7120000000000001,10.14,1982.03,2202,1.13,0.9,80,3.61,37.07,2669.04,880.78,0.33,1.35,24.78,34.66,1.35
Meta,Summer_Sale,2025-09-05,India,Tablet,High-Value Customers,Retention,156773,134500,1.17,1614,1.03,0.528,6.79,1065.24,4260,2.72,0.25,69,4.32,19.77,1227.717,589.3,0.48,1.15,15.44,15.25,1.15
Meta,Summer_Sale,2025-09-06,North America,Tablet,High-Value Customers,Traffic,175852,141109,1.25,2321,1.254,0.81,10.69,1880.01,8414,5.258000000000001,0.22,63,2.73,29.2,1839.6,643.86,0.35,0.98,29.84,-2.15,0.98
Meta,Summer_Sale,2025-09-07,Asia-Pacific,Desktop,New Customers,Retention,191834,130944,1.47,1764,0.874,0.86,7.91,1517.04,8073,4.631,0.19,50,2.86,52.64,2632.0,894.88,0.34,1.73,30.34,73.5,1.73
Meta,Summer_Sale,2025-09-08,Europe,Tablet,New Customers,Conversions,214296,166690,1.29,2464,1.15,0.52,5.98,1281.28,2155,1.01,0.59,123,5.03,26.78,3458.637,1452.63,0.42,2.7,10.42,169.94,2.7
Meta,Summer_Sale,2025-09-09,Asia-Pacific,Tablet,High-Value Customers,Traffic,227569,199572,1.14,3185,1.4,0.9,12.6,2866.5,12030,5.29,0.24,82,2.6,33.4,2738.8,712.09,0.26,0.96,34.96,-4.45,0.96
Meta,Summer_Sale,2025-09-10,Europe,Mobile,New Customers,Awareness,347781,311362,1.12,5529,1.59,0.53,8.43,2930.37,5162,1.48,0.57,96,1.75,57.77,5823.216,2038.13,0.35,1.99,30.52,98.72,1.99
Meta,Summer_Sale,2025-09-11,North America,Desktop,Returning Customers,Conversions,141626,125852,1.13,1826,1.29,0.51,6.58,931.26,1535,1.08,0.61,100,5.53,16.42,1642.0,689.64,0.42,1.76,9.31,76.32,1.76
Meta,Summer_Sale,2025-09-12,North America,Mobile,New Customers,Awareness,157178,99569,1.58,1917,1.22,0.57,6.95,1092.69,5276,3.36,0.21,37,1.95,59.64,2206.68,684.07,0.31,2.02,29.53,101.95,2.02
Meta,Summer_Sale,2025-09-13,Europe,Mobile,High-Value Customers,Retention,160264,106864,1.5,2452,1.4535,0.92,14.08,2255.84,2349,1.617,0.96,93,3.83,49.26,4810.2390000000005,1635.48,0.34,2.13,24.26,113.23,2.13
Meta,Summer_Sale,2025-09-14,India,Desktop,New Customers,Traffic,75697,47942,1.58,915,1.1495,0.44000000000000006,6.65,503.25,3107,4.51,0.16,24,2.66,42.68,921.8879999999999,368.76,0.4,1.83,20.97,83.19,1.83
Meta,Summer_Sale,2025-09-15,India,Mobile,New Customers,Awareness,150196,126080,1.19,2027,1.35,0.6480000000000001,10.93,1641.87,8159,5.43,0.2,36,1.82,32.47,1052.028,431.33,0.41,0.64,45.61,-35.93,0.64
Meta,Summer_Sale,2025-09-16,Asia-Pacific,Mobile,New Customers,Traffic,216920,166944,1.3,3514,1.62,0.9,14.58,3162.6,11455,5.28,0.28,129,3.69,44.45,5734.05,1490.85,0.26,1.81,24.52,81.31,1.81
Meta,Summer_Sale,2025-09-17,Asia-Pacific,Tablet,New Customers,Retention,185499,152368,1.22,3227,1.74,0.72,12.53,2323.44,5887,3.17,0.39,90,2.79,57.26,5153.4,2473.63,0.48,2.22,25.82,121.8,2.22
Meta,Summer_Sale,2025-09-18,North America,Tablet,Returning Customers,Conversions,179778,161411,1.11,3218,1.79,0.56,10.02,1802.08,7972,4.43,0.23,101,3.16,33.09,3342.09,1236.57,0.37,1.85,17.84,85.46,1.85
Meta,Summer_Sale,2025-09-19,Europe,Desktop,High-Value Customers,Conversions,167594,101284,1.65,1843,1.1,0.41,4.51,755.63,4554,2.72,0.17,96,5.22,35.08,3536.064,1343.7,0.38,4.68,7.87,367.96,4.68
